tconst,primaryTitle,startYear,runtimeMinutes,genres
tt0371746,Iron Man,2008.0,126.0,"Action,Adventure,Sci-Fi"
tt0458339,Captain America: The First Avenger,2011.0,124.0,"Action,Adventure,Sci-Fi"
tt0478970,Ant-Man,2015.0,117.0,"Action,Adventure,Comedy"
tt0800080,The Incredible Hulk,2008.0,112.0,"Action,Adventure,Sci-Fi"
tt0800369,Thor,2011.0,115.0,"Action,Adventure,Fantasy"
tt0848228,The Avengers,2012.0,143.0,"Action,Adventure,Sci-Fi"
tt1211837,Doctor Strange,2016.0,115.0,"Action,Adventure,Fantasy"
tt1228705,Iron Man 2,2010.0,124.0,"Action,Adventure,Sci-Fi"
tt1300854,Iron Man 3,2013.0,130.0,"Action,Adventure,Sci-Fi"
tt1825683,Black Panther,2018.0,134.0,"Action,Adventure,Sci-Fi"
tt1843866,Captain America: The Winter Soldier,2014.0,136.0,"Action,Adventure,Sci-Fi"
tt1981115,Thor: The Dark World,2013.0,112.0,"Action,Adventure,Sci-Fi"
tt2015381,Guardians of the Galaxy,2014.0,121.0,"Action,Adventure,Comedy"
tt2250912,Spider-Man: Homecoming,2017.0,133.0,"Action,Adventure,Sci-Fi"
tt2395427,Avengers: Age of Ultron,2015.0,141.0,"Action,Adventure,Sci-Fi"
tt3498820,Captain America: Civil War,2016.0,147.0,"Action,Adventure,Sci-Fi"
tt3501632,Thor: Ragnarok,2017.0,130.0,"Action,Adventure,Comedy"
tt3896198,Guardians of the Galaxy Vol. 2,2017.0,136.0,"Action,Adventure,Comedy"
tt4154664,Captain Marvel,2019.0,123.0,"Action,Adventure,Sci-Fi"
tt4154756,Avengers: Infinity War,2018.0,149.0,"Action,Adventure,Sci-Fi"
tt4154796,Avengers: Endgame,2019.0,181.0,"Action,Adventure,Sci-Fi"
tt5095030,Ant-Man and the Wasp,2018.0,118.0,"Action,Adventure,Comedy"
